,RMSE,latent dimentions,lambda,learning rate,epochs
136,1.0964611868209224,250,0.1,0.01,500
137,1.0839764602394817,250,0.1,0.01,750
138,1.005390201511895,250,0.1,0.001,250
139,1.001191385505172,250,0.1,0.001,500
140,0.9973843242748724,250,0.1,0.001,750
141,1.0350095587183448,250,0.1,0.0001,250
142,0.9743861599016607,250,0.1,0.0001,500
143,0.9833576767213845,250,0.1,0.0001,750
144,0.9860584324007362,250,1.0,0.1,250
145,0.984524791284341,250,1.0,0.1,500
146,0.9836786709319956,250,1.0,0.1,750
147,0.9886712607836614,250,1.0,0.01,250
148,0.9702824999043945,250,1.0,0.01,500
149,0.961336978418486,250,1.0,0.01,750
150,0.9235263799913114,250,1.0,0.001,250
151,0.9124358296691756,250,1.0,0.001,500
152,0.9144734214855035,250,1.0,0.001,750
153,1.0136763157254778,250,1.0,0.0001,250
154,0.9453440300251028,250,1.0,0.0001,500
155,0.9295720724544239,250,1.0,0.0001,750
156,0.985554318890211,250,100.0,0.1,250
157,0.9844824699791249,250,100.0,0.1,500
158,0.9829080150328766,250,100.0,0.1,750
159,0.9796792889433976,250,100.0,0.01,250
160,0.9796982863156508,250,100.0,0.01,500
161,0.9794028870059599,250,100.0,0.01,750
162,0.9983569821571348,250,100.0,0.001,250
163,0.9947892999242077,250,100.0,0.001,500
164,0.9814915660158948,250,100.0,0.001,750
165,1.0978779564493348,250,100.0,0.0001,250
166,1.0190289802758374,250,100.0,0.0001,500
167,1.001745091334456,250,100.0,0.0001,750
168,0.9869205333408984,250,1000.0,0.1,250
169,0.9840507289917843,250,1000.0,0.1,500
170,0.9835945199563381,250,1000.0,0.1,750
171,0.9797013919290146,250,1000.0,0.01,250
172,0.9796965666499085,250,1000.0,0.01,500
173,0.979682347683827,250,1000.0,0.01,750
174,0.9799439446140805,250,1000.0,0.001,250
175,0.9795719457783167,250,1000.0,0.001,500
176,0.9796206521762144,250,1000.0,0.001,750
177,1.3611428286069012,250,1000.0,0.0001,250
178,1.1444654343492855,250,1000.0,0.0001,500
179,1.0583928160261558,250,1000.0,0.0001,750
180,1.4738594110632046,500,0.001,0.1,250
181,1.6869558732668555,500,0.001,0.1,500
182,1.6778907128826197,500,0.001,0.1,750
183,1.3838451857150613,500,0.001,0.01,250
184,1.4658784921392292,500,0.001,0.01,500
